PAIR,BID,ASK,TIME
BTC/USD,36187,36194,11-06-21 2:39:10
BTC/USD,36171,36172,11-06-21 2:39:00
BTC/USD,36173,36176,11-06-21 2:38:50
BTC/USD,36178,36187,11-06-21 2:38:40
BTC/USD,36182,36188,11-06-21 2:38:30
BTC/USD,36190,36198,11-06-21 2:38:20
BTC/USD,36189,36196,11-06-21 2:38:10
BTC/USD,36182,36183,11-06-21 2:38:00
BTC/USD,36194,36195,11-06-21 2:37:50
BTC/USD,36194,36198,11-06-21 2:37:40
BTC/USD,36190,36199,11-06-21 2:37:30
BTC/USD,36189,36197,11-06-21 2:37:20
BTC/USD,36172,36180,11-06-21 2:37:10
BTC/USD,36188,36190,11-06-21 2:37:00
BTC/USD,36183,36190,11-06-21 2:36:50
BTC/USD,36181,36189,11-06-21 2:36:40
BTC/USD,36209,36210,11-06-21 2:36:30
BTC/USD,36209,36210,11-06-21 2:36:20
BTC/USD,36218,36222,11-06-21 2:36:10
BTC/USD,36215,36224,11-06-21 2:36:00
BTC/USD,36213,36217,11-06-21 2:35:50
BTC/USD,36224,36228,11-06-21 2:35:40
BTC/USD,36204,36213,11-06-21 2:35:30
BTC/USD,36214,36215,11-06-21 2:35:20
BTC/USD,36206,36216,11-06-21 2:35:10
BTC/USD,36209,36210,11-06-21 2:35:00
BTC/USD,36211,36212,11-06-21 2:34:50
BTC/USD,36239,36246,11-06-21 2:34:40
BTC/USD,36264,36265,11-06-21 2:34:30
BTC/USD,36269,36280,11-06-21 2:34:20
BTC/USD,36272,36273,11-06-21 2:34:10
BTC/USD,36229,36233,11-06-21 2:34:00
BTC/USD,36235,36238,11-06-21 2:33:50
BTC/USD,36234,36235,11-06-21 2:33:40
BTC/USD,36206,36217,11-06-21 2:33:30
BTC/USD,36220,36221,11-06-21 2:33:20
BTC/USD,36190,36195,11-06-21 2:33:10
BTC/USD,36179,36185,11-06-21 2:33:00
BTC/USD,36183,36185,11-06-21 2:32:50
BTC/USD,36182,36184,11-06-21 2:32:40
BTC/USD,36173,36183,11-06-21 2:32:30
BTC/USD,36188,36189,11-06-21 2:32:20
BTC/USD,36193,36194,11-06-21 2:32:10
BTC/USD,36188,36189,11-06-21 2:32:00
