PAIR,BID,ASK,TIME
ETH/USD,2692,2693.2,06-06-21 07:41:20
ETH/USD,2692,2693.2,06-06-21 07:41:10
ETH/USD,2690.3,2690.4,06-06-21 07:41:00
ETH/USD,2688.5,2689.5,06-06-21 07:40:50
ETH/USD,2687.2,2688.2,06-06-21 07:40:40
ETH/USD,2685.7,2687,06-06-21 07:40:30
ETH/USD,2687.4,2688.2,06-06-21 07:40:20
ETH/USD,2688.1,2688.7,06-06-21 07:40:10
ETH/USD,2687.8,2688.8,06-06-21 07:40:00
ETH/USD,2687.6,2688.6,06-06-21 07:39:50
ETH/USD,2686,2687.4,06-06-21 07:39:40
ETH/USD,2685.9,2686.9,06-06-21 07:39:30
ETH/USD,2685.2,2685.3,06-06-21 07:39:20
ETH/USD,2687.2,2688.4,06-06-21 07:39:10
ETH/USD,2687,2688.7,06-06-21 07:39:00
ETH/USD,2689.2,2690.4,06-06-21 07:38:50
ETH/USD,2689.8,2691.1,06-06-21 07:38:40
ETH/USD,2691.6,2692.7,06-06-21 07:38:30
ETH/USD,2694,2694.1,06-06-21 07:38:20
ETH/USD,2690.6,2690.7,06-06-21 07:38:10
ETH/USD,2688.7,2689.3,06-06-21 07:38:00
ETH/USD,2688.5,2688.6,06-06-21 07:37:50
ETH/USD,2684,2685.2,06-06-21 07:37:40
ETH/USD,2682.1,2682.6,06-06-21 07:37:30
ETH/USD,2680.9,2681.4,06-06-21 07:37:20
ETH/USD,2680.7,2681,06-06-21 07:37:10
ETH/USD,2680,2680.6,06-06-21 07:37:00
ETH/USD,2680.1,2680.9,06-06-21 07:36:50
ETH/USD,2679.4,2680.1,06-06-21 07:36:40
ETH/USD,2679.3,2679.9,06-06-21 07:36:30
ETH/USD,2678.6,2679.6,06-06-21 07:36:20
ETH/USD,2680.8,2681,06-06-21 07:36:10
ETH/USD,2680.8,2680.9,06-06-21 07:36:00
ETH/USD,2680.8,2680.9,06-06-21 07:35:50
ETH/USD,2678.8,2678.9,06-06-21 07:35:40
ETH/USD,2678.9,2679,06-06-21 07:35:30
ETH/USD,2678.8,2678.9,06-06-21 07:35:20
ETH/USD,2676.4,2676.5,06-06-21 07:35:10
ETH/USD,2675.9,2676.5,06-06-21 07:35:00
ETH/USD,2675.3,2675.8,06-06-21 07:34:50
ETH/USD,2676.4,2676.8,06-06-21 07:34:40
ETH/USD,2677.3,2677.4,06-06-21 07:34:30
ETH/USD,2677.3,2677.4,06-06-21 07:34:20
ETH/USD,2677.3,2677.4,06-06-21 07:34:10
ETH/USD,2677,2677.4,06-06-21 07:34:00
ETH/USD,2677.4,2677.9,06-06-21 07:33:50
ETH/USD,2676.1,2676.7,06-06-21 07:33:40
ETH/USD,2675.6,2676.4,06-06-21 07:33:30
ETH/USD,2675.5,2675.6,06-06-21 07:33:20
ETH/USD,2675.5,2676,06-06-21 07:33:10
ETH/USD,2674.3,2674.5,06-06-21 07:33:00
ETH/USD,2674.3,2674.5,06-06-21 07:32:50
ETH/USD,2674.3,2674.5,06-06-21 07:32:40
ETH/USD,2674.4,2674.9,06-06-21 07:32:30
ETH/USD,2675.4,2675.6,06-06-21 07:32:20
ETH/USD,2675,2675.1,06-06-21 07:32:10
ETH/USD,2675.1,2675.2,06-06-21 07:32:00
ETH/USD,2675.1,2675.3,06-06-21 07:31:50
ETH/USD,2675.1,2675.3,06-06-21 07:31:40
ETH/USD,2675.2,2675.7,06-06-21 07:31:30
ETH/USD,2676.5,2676.6,06-06-21 07:31:20
ETH/USD,2676.1,2676.3,06-06-21 07:31:10
ETH/USD,2675.9,2676.4,06-06-21 07:31:00
ETH/USD,2674.8,2675.4,06-06-21 07:30:50
ETH/USD,2675.2,2675.3,06-06-21 07:30:40
ETH/USD,2675.6,2675.7,06-06-21 07:30:30
ETH/USD,2675.6,2675.8,06-06-21 07:30:20
ETH/USD,2674.6,2675.2,06-06-21 07:30:10
ETH/USD,2672.5,2673.7,06-06-21 07:30:00
ETH/USD,2671.4,2671.9,06-06-21 07:29:50
ETH/USD,2671.9,2673,06-06-21 07:29:40
ETH/USD,2671.7,2672.5,06-06-21 07:29:30
ETH/USD,2672.9,2674,06-06-21 07:29:20
ETH/USD,2670.5,2670.8,06-06-21 07:29:10
ETH/USD,2670.5,2671.3,06-06-21 07:29:00
ETH/USD,2670.1,2671.1,06-06-21 07:28:50
ETH/USD,2670.8,2671.3,06-06-21 07:28:40
ETH/USD,2669.8,2670.6,06-06-21 07:28:30
ETH/USD,2671.5,2672.2,06-06-21 07:28:20
ETH/USD,2670.2,2671,06-06-21 07:28:10
ETH/USD,2671.7,2672.5,06-06-21 07:28:00
ETH/USD,2672.9,2673.7,06-06-21 07:27:50
ETH/USD,2674.3,2674.6,06-06-21 07:27:40
ETH/USD,2674.1,2674.4,06-06-21 07:27:30
ETH/USD,2674.1,2674.7,06-06-21 07:27:20
ETH/USD,2674.6,2675.2,06-06-21 07:27:10
ETH/USD,2672.4,2673.3,06-06-21 07:27:00
ETH/USD,2673.1,2674.5,06-06-21 07:26:50
ETH/USD,2673.7,2675,06-06-21 07:26:40
ETH/USD,2671.5,2673,06-06-21 07:26:30
ETH/USD,2670.9,2672.3,06-06-21 07:26:20
ETH/USD,2670.3,2671.2,06-06-21 07:26:10
ETH/USD,2667.7,2668.5,06-06-21 07:26:00
ETH/USD,2670,2670.6,06-06-21 07:25:50
ETH/USD,2671.6,2672,06-06-21 07:25:40
ETH/USD,2672.4,2673.3,06-06-21 07:25:30
ETH/USD,2672.4,2673.4,06-06-21 07:25:20
ETH/USD,2675.1,2675.8,06-06-21 07:25:10
ETH/USD,2674.9,2676.1,06-06-21 07:25:00
ETH/USD,2674.9,2675.8,06-06-21 07:24:50
ETH/USD,2674.2,2674.9,06-06-21 07:24:40
ETH/USD,2676.3,2676.7,06-06-21 07:24:30
ETH/USD,2676.1,2676.6,06-06-21 07:24:20
ETH/USD,2676.4,2676.5,06-06-21 07:24:10
ETH/USD,2677.9,2678.4,06-06-21 07:24:00
ETH/USD,2677.5,2677.7,06-06-21 07:23:50
ETH/USD,2677.5,2677.8,06-06-21 07:23:40
ETH/USD,2676.4,2677.5,06-06-21 07:23:30
ETH/USD,2677.5,2678.3,06-06-21 07:23:20
ETH/USD,2677.3,2678.1,06-06-21 07:23:10
ETH/USD,2676.4,2677.1,06-06-21 07:23:00
ETH/USD,2675.6,2676.1,06-06-21 07:22:50
ETH/USD,2675.9,2676.5,06-06-21 07:22:40
ETH/USD,2676,2676.8,06-06-21 07:22:30
ETH/USD,2677.7,2678.6,06-06-21 07:22:20
ETH/USD,2678.4,2678.6,06-06-21 07:22:10
ETH/USD,2677.3,2678.1,06-06-21 07:22:00
ETH/USD,2677.4,2678,06-06-21 07:21:50
ETH/USD,2676.9,2677.5,06-06-21 07:21:40
ETH/USD,2676.7,2677.1,06-06-21 07:21:30
ETH/USD,2676,2677.8,06-06-21 07:21:20
ETH/USD,2676.8,2677.4,06-06-21 07:21:10
ETH/USD,2677,2677.7,06-06-21 07:21:00
ETH/USD,2676.2,2676.8,06-06-21 07:20:50
ETH/USD,2675.9,2676.7,06-06-21 07:20:40
ETH/USD,2676.9,2677.4,06-06-21 07:20:30
ETH/USD,2675.5,2676.6,06-06-21 07:20:20
ETH/USD,2676,2676.8,06-06-21 07:20:10
ETH/USD,2674.7,2675.7,06-06-21 07:20:00
ETH/USD,2676.3,2676.6,06-06-21 07:19:50
ETH/USD,2676.3,2677.2,06-06-21 07:19:40
ETH/USD,2678,2678.5,06-06-21 07:19:30
ETH/USD,2677.9,2678.9,06-06-21 07:19:20
ETH/USD,2677.9,2678.8,06-06-21 07:19:10
ETH/USD,2676.4,2676.5,06-06-21 07:19:00
ETH/USD,2675.6,2676.2,06-06-21 07:18:50
ETH/USD,2675.2,2675.8,06-06-21 07:18:40
ETH/USD,2675.1,2675.7,06-06-21 07:18:30
ETH/USD,2674.7,2675.3,06-06-21 07:18:20
ETH/USD,2673.7,2674.3,06-06-21 07:18:10
ETH/USD,2676.1,2676.3,06-06-21 07:18:00
ETH/USD,2676.4,2676.5,06-06-21 07:17:50
ETH/USD,2676.1,2676.5,06-06-21 07:17:40
ETH/USD,2675.7,2676.1,06-06-21 07:17:30
ETH/USD,2676,2676.1,06-06-21 07:17:20
ETH/USD,2674.8,2675.2,06-06-21 07:17:10
ETH/USD,2674.6,2675.3,06-06-21 07:17:00
ETH/USD,2674.3,2675.4,06-06-21 07:16:50
ETH/USD,2673.2,2673.3,06-06-21 07:16:40
ETH/USD,2673.3,2673.4,06-06-21 07:16:30
ETH/USD,2673.2,2674,06-06-21 07:16:20
ETH/USD,2674.2,2675.1,06-06-21 07:16:10
ETH/USD,2674,2674.9,06-06-21 07:16:00
ETH/USD,2674.1,2674.6,06-06-21 07:15:50
ETH/USD,2673.2,2673.4,06-06-21 07:15:40
ETH/USD,2672.2,2673.4,06-06-21 07:15:30
ETH/USD,2671.9,2672,06-06-21 07:15:20
ETH/USD,2671.9,2672,06-06-21 07:15:10
ETH/USD,2671.8,2672.3,06-06-21 07:15:00
ETH/USD,2671,2671.2,06-06-21 07:14:50
ETH/USD,2671.8,2672.5,06-06-21 07:14:40
ETH/USD,2672,2672.8,06-06-21 07:14:30
ETH/USD,2671.5,2671.9,06-06-21 07:14:20
ETH/USD,2672.4,2673.1,06-06-21 07:14:10
ETH/USD,2671,2671.2,06-06-21 07:14:00
ETH/USD,2670.8,2671.3,06-06-21 07:13:50
ETH/USD,2671.5,2671.8,06-06-21 07:13:40
ETH/USD,2672.7,2672.8,06-06-21 07:13:30
ETH/USD,2673.4,2673.9,06-06-21 07:13:20
ETH/USD,2672.5,2672.8,06-06-21 07:13:10
ETH/USD,2673.7,2674.5,06-06-21 07:13:00
ETH/USD,2673.7,2674,06-06-21 07:12:50
ETH/USD,2672.6,2672.8,06-06-21 07:12:40
ETH/USD,2672.3,2672.8,06-06-21 07:12:30
ETH/USD,2672.5,2672.8,06-06-21 07:12:20
ETH/USD,2671.3,2672,06-06-21 07:12:10
ETH/USD,2670.2,2671.1,06-06-21 07:12:00
ETH/USD,2668.7,2669.3,06-06-21 07:11:50
ETH/USD,2670.2,2670.6,06-06-21 07:11:40
ETH/USD,2670.4,2671,06-06-21 07:11:30
ETH/USD,2670.1,2670.6,06-06-21 07:11:20
ETH/USD,2671.3,2672.3,06-06-21 07:11:10
ETH/USD,2670.9,2671,06-06-21 07:11:00
ETH/USD,2670.9,2671,06-06-21 07:10:50
ETH/USD,2670.8,2671.1,06-06-21 07:10:40
ETH/USD,2670.1,2671.3,06-06-21 07:10:30
ETH/USD,2669.4,2669.5,06-06-21 07:10:20
ETH/USD,2669.4,2669.5,06-06-21 07:10:10
ETH/USD,2668.7,2669.2,06-06-21 07:10:00
ETH/USD,2668.3,2669.5,06-06-21 07:09:50
ETH/USD,2669.4,2669.5,06-06-21 07:09:40
ETH/USD,2669.9,2670.9,06-06-21 07:09:30
ETH/USD,2671.1,2672.6,06-06-21 07:09:20
ETH/USD,2671.5,2672.5,06-06-21 07:09:10
ETH/USD,2669.8,2670.5,06-06-21 07:09:00
ETH/USD,2667.1,2668,06-06-21 07:08:50
ETH/USD,2667.6,2668.2,06-06-21 07:08:40
ETH/USD,2668.5,2668.8,06-06-21 07:08:30
ETH/USD,2669,2669.7,06-06-21 07:08:20
ETH/USD,2671.8,2671.9,06-06-21 07:08:10
ETH/USD,2671.7,2672.2,06-06-21 07:08:00
ETH/USD,2671.5,2671.7,06-06-21 07:07:50
ETH/USD,2672.7,2672.8,06-06-21 07:07:40
ETH/USD,2672.7,2672.8,06-06-21 07:07:30
ETH/USD,2672.7,2672.8,06-06-21 07:07:20
ETH/USD,2671.8,2672,06-06-21 07:07:10
ETH/USD,2671.4,2671.7,06-06-21 07:07:00
ETH/USD,2671.3,2671.4,06-06-21 07:06:50
ETH/USD,2671.3,2671.4,06-06-21 07:06:40
ETH/USD,2671.3,2671.4,06-06-21 07:06:30
ETH/USD,2671.3,2671.4,06-06-21 07:06:20
ETH/USD,2671.1,2671.4,06-06-21 07:06:10
ETH/USD,2670.5,2670.9,06-06-21 07:06:00
ETH/USD,2671.3,2671.4,06-06-21 07:05:50
ETH/USD,2670.5,2671,06-06-21 07:05:40
ETH/USD,2670.3,2670.9,06-06-21 07:05:30
ETH/USD,2670.2,2671,06-06-21 07:05:20
ETH/USD,2671.1,2671.2,06-06-21 07:05:10
ETH/USD,2669.8,2670.1,06-06-21 07:05:00
ETH/USD,2669.8,2669.9,06-06-21 07:04:50
ETH/USD,2669.8,2669.9,06-06-21 07:04:40
ETH/USD,2669.6,2670.4,06-06-21 07:04:30
ETH/USD,2668.7,2668.8,06-06-21 07:04:20
ETH/USD,2668.3,2668.8,06-06-21 07:04:10
ETH/USD,2671,2671.2,06-06-21 07:04:00
ETH/USD,2671,2671.1,06-06-21 07:03:50
ETH/USD,2671,2671.1,06-06-21 07:03:40
ETH/USD,2670.4,2670.5,06-06-21 07:03:30
ETH/USD,2670.2,2670.3,06-06-21 07:03:20
ETH/USD,2670.2,2670.3,06-06-21 07:03:10
ETH/USD,2668.9,2669.9,06-06-21 07:03:00
ETH/USD,2670.5,2670.6,06-06-21 07:02:50
ETH/USD,2669.3,2670,06-06-21 07:02:40
ETH/USD,2669.3,2670,06-06-21 07:02:30
ETH/USD,2668.3,2668.6,06-06-21 07:02:20
ETH/USD,2668.3,2668.8,06-06-21 07:02:10
ETH/USD,2668.8,2669.4,06-06-21 07:02:00
ETH/USD,2669.9,2670,06-06-21 07:01:50
ETH/USD,2670.1,2671,06-06-21 07:01:40
