PAIR,BID,ASK,TIME
YFI/UST,37750,37790,10-06-21 23:59:51
YFI/UST,37711,37780,10-06-21 23:59:41
YFI/UST,37713,37782,10-06-21 23:59:31
YFI/UST,37713,37795,10-06-21 23:59:21
YFI/UST,37713,37785,10-06-21 23:59:11
YFI/UST,37763,37825,10-06-21 23:59:01
YFI/UST,37765,37840,10-06-21 23:58:51
YFI/UST,37765,37831,10-06-21 23:58:41
YFI/UST,37758,37820,10-06-21 23:58:31
YFI/UST,37731,37807,10-06-21 23:58:21
YFI/UST,37681,37773,10-06-21 23:58:11
YFI/UST,37698,37782,10-06-21 23:58:01
YFI/UST,37660,37759,10-06-21 23:57:51
YFI/UST,37638,37721,10-06-21 23:57:41
YFI/UST,37607,37714,10-06-21 23:57:31
YFI/UST,37738,37814,10-06-21 23:57:21
YFI/UST,37729,37806,10-06-21 23:57:11
YFI/UST,37729,37816,10-06-21 23:57:01
YFI/UST,37688,37800,10-06-21 23:56:51
YFI/UST,37695,37804,10-06-21 23:56:41
YFI/UST,37695,37805,10-06-21 23:56:31
YFI/UST,37850,37883,10-06-21 23:56:21
YFI/UST,37852,37895,10-06-21 23:56:11
YFI/UST,37841,37889,10-06-21 23:56:01
YFI/UST,37846,37899,10-06-21 23:55:51
YFI/UST,37857,37903,10-06-21 23:55:41
YFI/UST,37868,37910,10-06-21 23:55:31
YFI/UST,37894,37928,10-06-21 23:55:21
YFI/UST,37894,37930,10-06-21 23:55:11
YFI/UST,37903,37940,10-06-21 23:55:01
YFI/UST,37902,37940,10-06-21 23:54:51
YFI/UST,37900,37940,10-06-21 23:54:41
YFI/UST,37917,37954,10-06-21 23:54:31
YFI/UST,37913,37948,10-06-21 23:54:21
YFI/UST,37919,37962,10-06-21 23:54:11
YFI/UST,37920,37970,10-06-21 23:54:01
YFI/UST,37915,37971,10-06-21 23:53:51
YFI/UST,37909,37969,10-06-21 23:53:41
YFI/UST,37899,37948,10-06-21 23:53:31
YFI/UST,37892,37942,10-06-21 23:53:21
YFI/UST,37888,37924,10-06-21 23:53:11
YFI/UST,37869,37900,10-06-21 23:53:01
YFI/UST,37867,37901,10-06-21 23:52:51
YFI/UST,37863,37903,10-06-21 23:52:41
YFI/UST,37861,37901,10-06-21 23:52:31
YFI/UST,37857,37894,10-06-21 23:52:21
YFI/UST,37856,37890,10-06-21 23:52:11
YFI/UST,37844,37879,10-06-21 23:52:01
YFI/UST,37835,37875,10-06-21 23:51:51
YFI/UST,37842,37891,10-06-21 23:51:41
YFI/UST,37839,37900,10-06-21 23:51:31
YFI/UST,37845,37897,10-06-21 23:51:21
YFI/UST,37863,37898,10-06-21 23:51:11
YFI/UST,37902,37931,10-06-21 23:51:01
YFI/UST,37909,37938,10-06-21 23:50:51
YFI/UST,37907,37934,10-06-21 23:50:41
YFI/UST,37905,37931,10-06-21 23:50:31
YFI/UST,37901,37929,10-06-21 23:50:21
YFI/UST,37900,37931,10-06-21 23:50:11
YFI/UST,37903,37935,10-06-21 23:50:01
YFI/UST,37902,37932,10-06-21 23:49:51
YFI/UST,37902,37930,10-06-21 23:49:41
YFI/UST,37896,37924,10-06-21 23:49:31
YFI/UST,37895,37926,10-06-21 23:49:21
YFI/UST,37893,37928,10-06-21 23:49:11
YFI/UST,37902,37934,10-06-21 23:49:01
YFI/UST,37899,37930,10-06-21 23:48:51
YFI/UST,37905,37933,10-06-21 23:48:41
YFI/UST,37904,37953,10-06-21 23:48:31
YFI/UST,37896,37945,10-06-21 23:48:21
YFI/UST,37897,37942,10-06-21 23:48:11
YFI/UST,37894,37949,10-06-21 23:48:01
YFI/UST,37904,37956,10-06-21 23:47:51
YFI/UST,37896,37956,10-06-21 23:47:41
YFI/UST,37891,37937,10-06-21 23:47:31
YFI/UST,37920,37972,10-06-21 23:47:21
YFI/UST,37921,37981,10-06-21 23:47:11
YFI/UST,37917,37980,10-06-21 23:47:01
YFI/UST,37948,38007,10-06-21 23:46:51
YFI/UST,38000,38018,10-06-21 23:46:41
YFI/UST,38000,38028,10-06-21 23:46:31
YFI/UST,38000,38033,10-06-21 23:46:21
YFI/UST,38000,38035,10-06-21 23:46:11
YFI/UST,38000,38023,10-06-21 23:46:01
YFI/UST,38000,38021,10-06-21 23:45:51
YFI/UST,37970,38021,10-06-21 23:45:41
YFI/UST,37983,38043,10-06-21 23:45:31
YFI/UST,38018,38072,10-06-21 23:45:21
YFI/UST,38019,38074,10-06-21 23:45:11
YFI/UST,38021,38077,10-06-21 23:45:01
YFI/UST,38023,38073,10-06-21 23:44:51
YFI/UST,38049,38095,10-06-21 23:44:41
YFI/UST,38044,38089,10-06-21 23:44:31
YFI/UST,38041,38087,10-06-21 23:44:21
YFI/UST,38042,38089,10-06-21 23:44:11
YFI/UST,38044,38086,10-06-21 23:44:01
YFI/UST,38037,38080,10-06-21 23:43:51
YFI/UST,38038,38082,10-06-21 23:43:41
YFI/UST,38043,38072,10-06-21 23:43:31
YFI/UST,38043,38073,10-06-21 23:43:21
YFI/UST,38051,38082,10-06-21 23:43:11
YFI/UST,38044,38074,10-06-21 23:43:01
YFI/UST,38047,38078,10-06-21 23:42:51
YFI/UST,38034,38070,10-06-21 23:42:41
YFI/UST,38034,38076,10-06-21 23:42:31
YFI/UST,38036,38078,10-06-21 23:42:21
YFI/UST,38033,38073,10-06-21 23:42:11
YFI/UST,38050,38088,10-06-21 23:42:01
YFI/UST,38052,38086,10-06-21 23:41:51
YFI/UST,38060,38093,10-06-21 23:41:41
YFI/UST,38063,38096,10-06-21 23:41:31
YFI/UST,38067,38100,10-06-21 23:41:21
YFI/UST,38069,38102,10-06-21 23:41:11
YFI/UST,38072,38103,10-06-21 23:41:01
YFI/UST,38065,38102,10-06-21 23:40:51
YFI/UST,38057,38104,10-06-21 23:40:41
YFI/UST,38056,38107,10-06-21 23:40:31
YFI/UST,38053,38102,10-06-21 23:40:21
YFI/UST,38057,38093,10-06-21 23:40:11
YFI/UST,38035,38066,10-06-21 23:40:01
YFI/UST,38028,38076,10-06-21 23:39:51
YFI/UST,38027,38074,10-06-21 23:39:41
YFI/UST,38025,38069,10-06-21 23:39:31
YFI/UST,38034,38080,10-06-21 23:39:21
YFI/UST,38037,38085,10-06-21 23:39:11
YFI/UST,38030,38081,10-06-21 23:39:01
YFI/UST,38031,38084,10-06-21 23:38:51
YFI/UST,38022,38076,10-06-21 23:38:41
YFI/UST,38013,38077,10-06-21 23:38:31
YFI/UST,38028,38097,10-06-21 23:38:21
YFI/UST,38029,38100,10-06-21 23:38:11
YFI/UST,38019,38077,10-06-21 23:38:01
YFI/UST,38000,38066,10-06-21 23:37:51
YFI/UST,38000,38070,10-06-21 23:37:41
YFI/UST,38000,38071,10-06-21 23:37:31
YFI/UST,38000,38073,10-06-21 23:37:21
YFI/UST,37976,38046,10-06-21 23:37:11
YFI/UST,37961,38027,10-06-21 23:37:01
YFI/UST,37963,38025,10-06-21 23:36:51
YFI/UST,37963,38025,10-06-21 23:36:41
YFI/UST,37948,38016,10-06-21 23:36:31
YFI/UST,37949,38016,10-06-21 23:36:21
YFI/UST,37937,38013,10-06-21 23:36:11
